transform,provider_left,provider_right,pearson_r,spearman_rho,kendall_tau,mae,rmse,n_items
raw_mean_pb,deepseek_v4_flash,gpt_oss_120b,0.5947356359290841,0.5849901540956882,0.4243489336564561,255.72829581993568,348.71128039390265,311
raw_mean_pb,deepseek_v4_flash,llama33_70b,0.6822294326292283,0.6082222653083349,0.44145887727115524,278.7170418006431,358.387725875033,311
raw_mean_pb,deepseek_v4_flash,nemotron3_nano_30b,0.4163710381252581,0.359161243695153,0.25335632661662494,324.6864951768489,416.57038040743777,311
raw_mean_pb,deepseek_v4_flash,qwen3_32b,0.6655590495611657,0.6302004395854143,0.4556393956432196,300.4003215434084,382.08912004814266,311
raw_mean_pb,gpt_oss_120b,llama33_70b,0.6405782762055123,0.5501470750150125,0.38670629891706126,256.9887459807074,346.76672269386756,311
raw_mean_pb,gpt_oss_120b,nemotron3_nano_30b,0.49928836554241834,0.40372768550839644,0.2752380189466963,305.80385852090035,389.9485785211625,311
raw_mean_pb,gpt_oss_120b,qwen3_32b,0.711307377070715,0.6422795745830161,0.46908946203173146,247.4823151125402,338.8121770514277,311
raw_mean_pb,llama33_70b,nemotron3_nano_30b,0.47127937144015325,0.3974286744247307,0.2745919315223245,371.2363344051447,460.5463840537148,311
raw_mean_pb,llama33_70b,qwen3_32b,0.6855115466136474,0.543581182131405,0.3882783129308481,213.68006430868166,292.6084444586122,311
raw_mean_pb,nemotron3_nano_30b,qwen3_32b,0.5194666284612457,0.367465997300549,0.25960912985346857,374.7266881028939,472.61630188800024,311
raw_ae,deepseek_v4_flash,gpt_oss_120b,0.07784542355587074,0.22665666190075295,0.17388809223370208,27.366559485530548,32.57763421127842,311
raw_ae,deepseek_v4_flash,llama33_70b,0.14410984990235107,0.3061008303546404,0.23966378867034024,19.607717041800644,25.68846250964282,311
raw_ae,deepseek_v4_flash,nemotron3_nano_30b,0.2134459275341705,0.21890171105968878,0.16867424639579634,226.44694533762058,423.4098642961448,311
raw_ae,deepseek_v4_flash,qwen3_32b,0.20634837537101544,0.034321344252204296,0.03625059527673648,6.794212218649518,10.728901377067572,311
raw_ae,gpt_oss_120b,llama33_70b,0.01824191013337466,0.06962595819871067,0.048069098592681,19.926045016077172,26.73816112693917,311
raw_ae,gpt_oss_120b,nemotron3_nano_30b,0.1340980973168251,0.2371779819334258,0.16682522217951143,224.52733118971062,410.1550016785474,311
raw_ae,gpt_oss_120b,qwen3_32b,0.04827327944685196,-0.033257878343517074,-0.024223674657616018,25.69774919614148,31.12757692169561,311
raw_ae,llama33_70b,nemotron3_nano_30b,0.03563256714390797,0.05982450387192122,0.042754252596383234,226.7427652733119,415.6598790456345,311
raw_ae,llama33_70b,qwen3_32b,0.13377912143847207,0.029651967946675985,0.03154035455371026,17.578778135048232,24.459231780507835,311
raw_ae,nemotron3_nano_30b,qwen3_32b,0.1884214044208714,0.06057908896607833,0.04933629289207487,225.66559485530547,422.1031784381497,311
percentile_mean_pb,deepseek_v4_flash,gpt_oss_120b,0.5849901540956883,0.5849901540956882,0.4243489336564561,0.1942080830429793,0.2629945962692158,311
percentile_mean_pb,deepseek_v4_flash,llama33_70b,0.6082222653083347,0.6082222653083349,0.44145887727115524,0.1973511440121587,0.2555265096073789,311
percentile_mean_pb,deepseek_v4_flash,nemotron3_nano_30b,0.35916124369515295,0.359161243695153,0.25335632661662494,0.24795029000940852,0.32674594131396845,311
percentile_mean_pb,deepseek_v4_flash,qwen3_32b,0.6302004395854139,0.6302004395854143,0.4556393956432196,0.1878599270065446,0.2482557679190032,311
percentile_mean_pb,gpt_oss_120b,llama33_70b,0.5501470750150125,0.5501470750150125,0.38670629891706126,0.21212559837057102,0.27381342660327757,311
percentile_mean_pb,gpt_oss_120b,nemotron3_nano_30b,0.4037276855083965,0.40372768550839644,0.2752380189466963,0.23563652154134054,0.31518208350400545,311
percentile_mean_pb,gpt_oss_120b,qwen3_32b,0.6422795745830161,0.6422795745830161,0.46908946203173146,0.17650768705865327,0.24416949227903514,311
percentile_mean_pb,llama33_70b,nemotron3_nano_30b,0.39742867442473057,0.3974286744247307,0.2745919315223245,0.2470094395219238,0.31684137638273624,311
percentile_mean_pb,llama33_70b,qwen3_32b,0.543581182131405,0.543581182131405,0.3882783129308481,0.2102335583792558,0.2758034942368246,311
percentile_mean_pb,nemotron3_nano_30b,qwen3_32b,0.36746599730054896,0.367465997300549,0.25960912985346857,0.24373197134024668,0.3246232809065541,311
percentile_ae,deepseek_v4_flash,gpt_oss_120b,0.22665666190075298,0.22665666190075295,0.17388809223370208,0.2691245954859855,0.35174909263240467,311
percentile_ae,deepseek_v4_flash,llama33_70b,0.30610083035464036,0.3061008303546404,0.23966378867034024,0.25145521655069736,0.3333302471282078,311
percentile_ae,deepseek_v4_flash,nemotron3_nano_30b,0.21890171105968873,0.21890171105968878,0.16867424639579634,0.2967918032278409,0.35074197485528036,311
percentile_ae,deepseek_v4_flash,qwen3_32b,0.0343213442522043,0.034321344252204296,0.03625059527673648,0.3114215113574094,0.3857046447191819,311
percentile_ae,gpt_oss_120b,llama33_70b,0.0696259581987107,0.06962595819871067,0.048069098592681,0.3177283113284602,0.3933677330272945,311
percentile_ae,gpt_oss_120b,nemotron3_nano_30b,0.23717798193342574,0.2371779819334258,0.16682522217951143,0.27396325513590636,0.3534187912200155,311
percentile_ae,gpt_oss_120b,qwen3_32b,-0.03325787834351713,-0.033257878343517074,-0.024223674657616018,0.32829478603405676,0.4069823079891938,311
percentile_ae,llama33_70b,nemotron3_nano_30b,0.05982450387192119,0.05982450387192122,0.042754252596383234,0.31324117823430275,0.392487312409574,311
percentile_ae,llama33_70b,qwen3_32b,0.029651967946675926,0.029651967946675985,0.03154035455371026,0.32431426474085256,0.39454506613992957,311
percentile_ae,nemotron3_nano_30b,qwen3_32b,0.06057908896607826,0.06057908896607833,0.04933629289207487,0.29240806029714334,0.38506671017092114,311
