alignment_condition_id,condition_index,opinion_index,attack_index,opinion_label,attack_label,target_alignment_z,achieved_alignment_z,profile_id,exposure_position_id,ae_private,ae_private_percentile_within_condition,exposure_outgoing_visibility_weight,sender_reach_percentile_within_condition,node_area,layout_x,layout_y
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0760,107328,14.0,0.285,504.03586862669806,0.8,112.4,0.42240573506283746,-0.17726061331960719
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0716,9057,14.0,0.285,500.34946868055874,0.79,111.22,0.4513318954153744,-0.3474382050574907
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0688,233047,14.0,0.285,489.5502042854534,0.78,110.04,-0.3034656905159872,0.4082463593622186
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0458,383153,14.0,0.285,474.76795613267535,0.77,108.86,0.061460698333706806,0.19934947034417314
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0427,348993,14.0,0.285,468.4942397308576,0.76,107.68,-0.471657539591825,-0.17318066351324182
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0390,253818,14.0,0.285,454.2558662441609,0.75,106.5,0.7501361143642608,-0.20343570452802623
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0364,20711,14.0,0.285,411.1460601001,0.74,105.32,0.001638459700379704,0.359460142764999
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0355,39505,14.0,0.285,407.3835362017549,0.73,104.14,-0.3820819011327872,0.19302285223452734
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0297,274785,14.0,0.285,380.9799882599461,0.72,102.96,-0.06764151401634964,0.1869428353604283
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0293,71058,14.0,0.285,368.1707441027483,0.71,101.78,-0.45850749023416687,0.3439642205426663
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0233,34967,14.0,0.285,319.38917249802364,0.7,100.6,0.1678003775695028,0.0981913498426072
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0186,42292,14.0,0.285,311.8248289514239,0.69,99.41999999999999,0.4845858459155426,-0.2756049068315605
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0167,137208,14.0,0.285,309.3038774943162,0.68,98.24000000000001,-0.43296519654846516,0.6507199209450789
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0143,186886,14.0,0.285,300.05521250907486,0.67,97.06,0.6043968583897406,-0.2829666253281883
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0066,184624,14.0,0.285,293.49892667873956,0.66,95.88000000000001,-0.22931981607460117,0.2405547898608393
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0065,301335,14.0,0.285,287.7727319745055,0.65,94.7,0.3478459987518017,-0.12787152102125768
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0645,384107,15.0,0.42,286.19572153394694,0.64,93.52,0.5395234116422011,-0.4625966406169585
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0608,296407,15.0,0.42,270.9056401507755,0.63,92.34,-0.7130187041272336,0.3808637241551005
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0596,279865,15.0,0.42,270.02802032793227,0.62,91.16,0.7636667081336048,-0.2812232768554615
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0253,310730,23.0,0.6,255.5366588209987,0.61,89.98,0.4719939215658523,-0.501544734368316
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0295,189612,23.0,0.6,254.60523185104248,0.6,88.8,0.774959404573716,-0.4780653241707589
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0416,124023,23.0,0.6,227.75787865894563,0.59,87.61999999999999,-0.13631345647714782,-0.11884223714574826
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0590,272159,23.0,0.6,222.82815480270477,0.58,86.44,0.5695056197557777,-0.16227313336367175
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0052,5214,21.0,0.555,193.07311518097828,0.57,85.25999999999999,-0.12194744578378265,0.2556459936004104
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0111,55031,21.0,0.555,191.38628638258115,0.56,84.08000000000001,0.7357146547565554,-0.3342207191605287
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0269,126397,21.0,0.555,188.59080265022095,0.55,82.9,0.8109763423828151,-0.5787279695094165
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0397,219034,21.0,0.555,170.93491685872138,0.54,81.72,0.5880964706198738,-0.34227698127232203
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0360,299382,20.0,0.53,131.1360495996527,0.53,80.54,0.8196357710063208,-0.3905842288948749
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0657,92368,19.0,0.52,130.25714637480633,0.52,79.36,0.9810153906619523,-0.5055835329679682
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0718,187676,18.0,0.51,119.93119154228448,0.51,78.18,0.15930233356597887,-0.24151267195704662
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0521,121432,17.0,0.5,115.38908584070774,0.5,77.0,1.0,-0.6531138908963056
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0486,174061,16.0,0.485,102.03034927841692,0.49,75.82,0.8882102782637469,-0.5533049383197944
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0579,340002,16.0,0.485,98.34393887084111,0.48,74.64,0.773983390933506,-0.6758327230790402
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0005,169089,15.0,0.42,97.33777137742476,0.47,73.46,0.6942363535704108,-0.14609050475129745
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0063,401074,15.0,0.42,87.30279092818225,0.46,72.28,0.6868475266139272,-0.5443949768007137
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0096,337637,15.0,0.42,53.04792398959006,0.45,71.1,-0.7152910869575211,-0.31917834505356346
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0217,300792,15.0,0.42,36.12517521037288,0.44,69.92,0.9213124859851288,-0.21521171834885686
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0272,129327,15.0,0.42,34.84846964609053,0.43,68.74000000000001,0.30737209592068004,-0.5147501111695428
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0308,151953,15.0,0.42,26.03327078423476,0.42,67.56,-0.12477531178849034,-0.6308835151507026
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0424,2446,15.0,0.42,16.49400577479576,0.41,66.38,-0.39287250782103517,-0.24108196170331456
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0560,80495,15.0,0.42,14.062512622268091,0.4,65.2,0.6609697666996824,-0.42819657124868715
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0248,266100,23.0,0.6,11.460040588809578,0.39,64.02000000000001,-0.2691096160423949,-0.3300610539807668
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0790,319615,24.0,0.65,11.30489438733709,0.38,62.84,-0.5529993800376094,0.03062478859633284
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0663,90090,24.0,0.65,7.549008026878127,0.37,61.66,0.4411841701916399,0.1777308796642101
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0445,251790,24.0,0.65,7.544095649370665,0.36,60.48,0.6595893671948476,0.006829311562989643
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0372,304808,24.0,0.65,6.25303876025418,0.35,59.3,-0.12917241530469387,0.3642585598466875
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0204,134305,24.0,0.65,4.707589891641579,0.34,58.120000000000005,-0.031499742456924607,-0.478934384200415
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0778,365921,25.0,0.72,4.398751170117098,0.33,56.940000000000005,-0.33728969988538343,0.5036677624001947
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0754,155983,25.0,0.72,4.29286353616776,0.32,55.76,-0.19683817908258996,-0.1962926435054889
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0745,160670,25.0,0.72,4.2287751983743025,0.31,54.58,-0.19777908924887355,0.6965623623677537
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0673,246490,25.0,0.72,3.630963282152514,0.3,53.4,-0.15236390018773516,-0.34260182200394895
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0641,382017,25.0,0.72,3.4904648145706076,0.29,52.22,-0.7087701111708137,0.14832563016829786
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0585,187031,25.0,0.72,1.9912964283228267,0.28,51.040000000000006,-0.4186654574342815,0.4283422291384706
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0509,305956,25.0,0.72,1.9054678120062671,0.27,49.86,-0.024022153509810715,0.4648556695508071
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0391,383616,25.0,0.72,1.7456795058164791,0.26,48.68,0.15690385145997662,-0.47997863629132154
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0131,384560,25.0,0.72,1.3923390322108071,0.25,47.5,-0.6637027816853982,-0.048046984858694554
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0753,198413,26.0,0.785,1.2449387926613276,0.24,46.32,-0.4868825121023256,-0.0775834038473935
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0368,550,26.0,0.785,0.9186182664017066,0.23,45.14,0.35868776208778985,0.07827850907251105
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0280,287720,26.0,0.785,0.827274205601245,0.22,43.96,0.09972221756691832,-0.11940322601548674
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0019,349850,26.0,0.785,0.8169011229854404,0.21,42.78,0.06420627901369477,0.49987404104993827
