model,model_label,outcome,predictors,n_profiles,r_squared,adj_r_squared,delta_r_squared_from_previous,aic
direct_only,Direct susceptibility only,mean_pn_increment_effectivity,mean_ae_private,100,0.07839822111283445,0.06899412132827165,0.07839822111283445,279.62350075830807
traits_only,Profile traits + sex,mean_pn_increment_effectivity,"age,openness,conscientiousness,extraversion,agreeableness,neuroticism,female,other_gender",100,0.30024700189995424,0.23873025481423604,0.22184878078711978,266.0849200343847
traits_plus_direct,Profile traits + sex + direct susceptibility,mean_pn_increment_effectivity,"mean_ae_private,age,openness,conscientiousness,extraversion,agreeableness,neuroticism,female,other_gender",100,0.30138254229555705,0.2315207965251127,0.0011355403956028187,267.9225109044596
