relationship,x,y,pearson_r,n,unit
H2 scenario-level peer activation,peer_private_attack_activation,pn_increment_effectivity,0.15874362752416601,3500,scenario row
private susceptibility and post-network increment,ae_private,pn_increment_effectivity,0.17561584215663453,3500,scenario row
private effect and final network effect,ae_private,ae_total_network,0.7910306921913349,3500,scenario row
receiver exposure and PN increment,exposure_weighted_in_degree,pn_increment_effectivity,-0.10927746478404636,3500,scenario row
sender reach and private susceptibility,exposure_outgoing_visibility_weight,ae_private,-0.004512485129698607,3500,scenario row
bridge score and PN increment,exposure_bridge_score,pn_increment_effectivity,0.03435534621299833,3500,scenario row
H2 profile-level averaged peer activation,mean_post_attack_network_peer_exposure_weighted_delta_mean,mean_pn_increment_effectivity,0.09660464929175347,100,profile average
