condition_id,opinion_label,attack_label,profile_id,position_id,ae_private,ae_private_percentile_within_condition,outgoing_visibility_weight,sender_reach_percentile,eigenvector_centrality,eigenvector_centrality_percentile,node_area,layout_x,layout_y
alliance_commitment_support_credentialed_domain_persona_fabrication,Alliance_Commitment_Support,Credentialed_Domain_Persona_Fabrication,profile_0253,301335,75.0,1.0,287.7727319745055,0.65,0.0434480179862947,0.67,114.58789671359428,-0.052043047705740184,0.341379526660864
alliance_commitment_support_credentialed_domain_persona_fabrication,Alliance_Commitment_Support,Credentialed_Domain_Persona_Fabrication,profile_0204,129327,74.0,0.99,34.84846964609053,0.43,0.0101911352706933,0.43,80.2875672190457,0.1616954891010566,0.38044394123076225
alliance_commitment_support_credentialed_domain_persona_fabrication,Alliance_Commitment_Support,Credentialed_Domain_Persona_Fabrication,profile_0472,106070,70.0,0.98,0.0655124684913474,0.065,0.0047186872169291,0.1,29.023510216605086,-0.38382796238173217,-0.5307056942506513
alliance_commitment_support_credentialed_domain_persona_fabrication,Alliance_Commitment_Support,Credentialed_Domain_Persona_Fabrication,profile_0521,377169,69.0,0.97,1250.473657686172,0.98,0.165924237582852,0.97,168.64405587934644,0.29229030515791593,-0.24324267057983776
alliance_commitment_support_credentialed_domain_persona_fabrication,Alliance_Commitment_Support,Credentialed_Domain_Persona_Fabrication,profile_0295,198413,69.0,0.96,1.2449387926613276,0.24,0.0054170252837898,0.18,52.33387199534282,-0.4072810712717611,-0.38178333258634906
alliance_commitment_support_credentialed_domain_persona_fabrication,Alliance_Commitment_Support,Credentialed_Domain_Persona_Fabrication,profile_0542,229697,68.0,0.95,0.2606318265851117,0.13,0.0063166861495514,0.25,37.265386819385384,0.39635416280796243,-0.5407981048014802
alliance_commitment_support_credentialed_domain_persona_fabrication,Alliance_Commitment_Support,Credentialed_Domain_Persona_Fabrication,profile_0669,324201,67.0,0.94,0.0,0.03,0.0048943762046503,0.13,24.954384827840837,0.3648957936622728,-0.29439414737229685
alliance_commitment_support_credentialed_domain_persona_fabrication,Alliance_Commitment_Support,Credentialed_Domain_Persona_Fabrication,profile_0633,279865,65.0,0.93,270.02802032793227,0.62,0.0358873823854439,0.62,109.81525186839335,0.029400956477199144,0.7213346374940818
alliance_commitment_support_credentialed_domain_persona_fabrication,Alliance_Commitment_Support,Credentialed_Domain_Persona_Fabrication,profile_0390,363863,65.0,0.92,1242.482382717748,0.97,0.1833428505564591,0.99,166.96915297909047,0.14393510852609834,-0.21143487130342195
alliance_commitment_support_credentialed_domain_persona_fabrication,Alliance_Commitment_Support,Credentialed_Domain_Persona_Fabrication,profile_0219,42292,61.0,0.91,311.8248289514239,0.69,0.0493710886804342,0.7,120.99248824458604,-0.10342725638059533,0.5261259250641428
alliance_commitment_support_credentialed_domain_persona_fabrication,Alliance_Commitment_Support,Credentialed_Domain_Persona_Fabrication,profile_0131,366331,61.0,0.9,0.5672383139785284,0.17,0.0051399472892388,0.16,42.61550847470339,0.38470369555552275,0.2019034878586944
alliance_commitment_support_credentialed_domain_persona_fabrication,Alliance_Commitment_Support,Credentialed_Domain_Persona_Fabrication,profile_0795,296407,60.0,0.89,270.9056401507755,0.63,0.0318537150895989,0.59,111.40311986131341,-0.020013489438382447,-0.6914477442764406
alliance_commitment_support_credentialed_domain_persona_fabrication,Alliance_Commitment_Support,Credentialed_Domain_Persona_Fabrication,profile_0775,169089,60.0,0.88,97.33777137742476,0.47,0.0224578814081903,0.52,86.39332635450137,-0.05482623551393194,0.6339957362940227
alliance_commitment_support_credentialed_domain_persona_fabrication,Alliance_Commitment_Support,Credentialed_Domain_Persona_Fabrication,profile_0535,383616,60.0,0.87,1.7456795058164791,0.26,0.0052280984337702,0.17,55.17885609314376,-0.3625578479042613,0.5119707660470029
alliance_commitment_support_credentialed_domain_persona_fabrication,Alliance_Commitment_Support,Credentialed_Domain_Persona_Fabrication,profile_0711,124023,58.0,0.86,227.75787865894563,0.59,0.0323358146107405,0.6,105.07024897055159,-0.35107510810157866,-0.06500560338738327
alliance_commitment_support_credentialed_domain_persona_fabrication,Alliance_Commitment_Support,Credentialed_Domain_Persona_Fabrication,profile_0427,249656,54.0,0.85,0.1310249369826948,0.08,0.0054207719065115,0.19,30.86241421684578,-0.4926472186198499,-0.3437938225933985
alliance_commitment_support_credentialed_domain_persona_fabrication,Alliance_Commitment_Support,Credentialed_Domain_Persona_Fabrication,profile_0217,121432,54.0,0.84,115.38908584070774,0.5,0.0129613383984977,0.45,91.01407379686563,-0.07089108067086361,0.9197299197399121
alliance_commitment_support_credentialed_domain_persona_fabrication,Alliance_Commitment_Support,Credentialed_Domain_Persona_Fabrication,profile_0280,300792,52.0,0.83,36.12517521037288,0.44,0.0072425724958066,0.36,81.80785912271459,0.23079300792585652,0.7844137048113167
alliance_commitment_support_credentialed_domain_persona_fabrication,Alliance_Commitment_Support,Credentialed_Domain_Persona_Fabrication,profile_0433,266100,51.0,0.82,11.460040588809578,0.39,0.0079025395030261,0.39,74.24967806835784,0.2828971684317248,-0.023998211483239607
alliance_commitment_support_credentialed_domain_persona_fabrication,Alliance_Commitment_Support,Credentialed_Domain_Persona_Fabrication,profile_0794,187031,50.0,0.81,1.9912964283228267,0.28,0.0074967056888233,0.37,58.05024778889942,-0.403967952853069,0.05652592884623
alliance_commitment_support_credentialed_domain_persona_fabrication,Alliance_Commitment_Support,Credentialed_Domain_Persona_Fabrication,profile_0560,348993,50.0,0.8,468.4942397308576,0.76,0.0621587761211224,0.75,132.30684991447612,0.2597627233949516,-0.6340528472831928
alliance_commitment_support_credentialed_domain_persona_fabrication,Alliance_Commitment_Support,Credentialed_Domain_Persona_Fabrication,profile_0424,345831,50.0,0.79,984.7526658749454,0.93,0.1450591857711488,0.95,160.29044095837486,-0.20162329157696007,-0.16273658140851333
alliance_commitment_support_credentialed_domain_persona_fabrication,Alliance_Commitment_Support,Credentialed_Domain_Persona_Fabrication,profile_0325,129225,50.0,0.78,0.0655124684913474,0.065,0.0055890845015535,0.2,29.023510216605086,-0.46110327786421873,-0.24142928872078862
alliance_commitment_support_credentialed_domain_persona_fabrication,Alliance_Commitment_Support,Credentialed_Domain_Persona_Fabrication,profile_0165,151953,50.0,0.77,26.03327078423476,0.42,0.0048560137400766,0.11,78.77151243450382,-0.18050039401226434,0.14048889067282988
alliance_commitment_support_credentialed_domain_persona_fabrication,Alliance_Commitment_Support,Credentialed_Domain_Persona_Fabrication,profile_0717,20711,49.0,0.76,411.1460601001,0.74,0.0532747262282605,0.71,129.0608741712757,0.05942081583761697,-0.20150920182161178
