outcome,predictor,model_id,model,covariance,estimate,std_error,p_value,r_squared,n,df_resid,excluded_rows,excluded_conditions,permutation_count
mean_pn_increment_effectivity,achieved_alignment_z,main_fe_ols,OLS with opinion and attack fixed effects,classical,2.399072578809239,0.37271199405668465,1.4395080547230126e-06,0.925358898058873,35,23.0,0,0,
mean_pn_increment_effectivity,achieved_alignment_z,main_fe_hc3,OLS with opinion and attack fixed effects,HC3,2.399072578809239,0.44521434960261735,1.7883771487931422e-05,0.925358898058873,35,23.0,0,0,
mean_pn_increment_effectivity,achieved_alignment_z,within_attack_permutation,Directional permutation of achieved alignment within attack,permutation,2.399072578809239,0.37271199405668465,0.0001999600079984003,0.925358898058873,35,23.0,0,0,5000.0
mean_pn_increment_effectivity,achieved_alignment_z,exclude_upstream_fallback_rows,Sensitivity excluding private or BN fallback-flagged rows,classical,2.381389781367922,0.37394470455386164,1.6910586244886023e-06,0.9247604766619311,35,23.0,11,0,
mean_pn_increment_effectivity,achieved_alignment_z,exclude_post_heuristic_warning_conditions,Sensitivity excluding conditions containing post-attack heuristic warnings,classical,2.3151707458502586,0.4116353479939902,1.1789401878554513e-05,0.9252584044212033,34,22.0,0,1,
mean_ae_total_network,achieved_alignment_z,main_fe_ols,OLS with opinion and attack fixed effects,classical,2.6969165528195003,0.7125527561667435,0.0009583534982897324,0.9713618685838207,35,23.0,0,0,
mean_ae_total_network,achieved_alignment_z,main_fe_hc3,OLS with opinion and attack fixed effects,HC3,2.6969165528195003,0.8427947983702662,0.003978976808573421,0.9713618685838207,35,23.0,0,0,
mean_ae_total_network,achieved_alignment_z,within_attack_permutation,Directional permutation of achieved alignment within attack,permutation,2.6969165528195003,0.7125527561667435,0.001999600079984003,0.9713618685838207,35,23.0,0,0,5000.0
mean_ae_total_network,achieved_alignment_z,exclude_upstream_fallback_rows,Sensitivity excluding private or BN fallback-flagged rows,classical,2.6333049486845805,0.7149388448766821,0.0012309556840767457,0.9711932539867283,35,23.0,11,0,
mean_ae_total_network,achieved_alignment_z,exclude_post_heuristic_warning_conditions,Sensitivity excluding conditions containing post-attack heuristic warnings,classical,2.524879931758312,0.786237946249494,0.004023072793274473,0.9708529014945255,34,22.0,0,1,
