profile_id,position_id,assignment_rank,community_id,eigenvector_centrality,eigenvector_centrality_percentile,outgoing_visibility_weight,outgoing_visibility_percentile,incoming_exposure_weight,incoming_exposure_percentile,display_role
profile_0596,347570,9,0,0.0056087456148603,0.21,0.6892645570208586,0.19,6.977782735447744,0.34,context_position
profile_0726,110449,32,5,0.0068539118778172,0.31,0.6176778327274192,0.18,9.130559286725305,0.49,bridge
profile_0131,366331,23,6,0.0051399472892388,0.16,0.5672383139785284,0.17,8.693172826737985,0.45,bridge
profile_0233,139411,46,0,0.0059967308260703,0.22,0.5248424019578145,0.16,5.569772243862362,0.26,peripheral
profile_0143,23157,92,4,0.0028725512938332,0.04,0.4814630784864689,0.15,8.29873163275977,0.39,bridge
profile_0641,48939,10,0,0.0020932432195753,0.01,0.2620498739653896,0.14,2.014730147313507,0.04,peripheral
profile_0542,229697,41,0,0.0063166861495514,0.25,0.2606318265851117,0.13,5.670461861092033,0.27,peripheral
profile_0397,308087,27,2,0.0079852298372891,0.4,0.2000251552656693,0.12,11.30283084279054,0.61,bridge
profile_0673,177674,36,4,0.0021369611803067,0.02,0.1965374054740422,0.11,1.7830448366351377,0.02,peripheral
profile_0613,59310,18,3,0.0068908865038783,0.32,0.1813479720219435,0.1,10.164125199985154,0.52,bridge
profile_0019,29880,15,0,0.0043236833119769,0.07,0.1671007013916554,0.09,4.123277636234773,0.14,peripheral
profile_0427,249656,65,0,0.0054207719065115,0.19,0.1310249369826948,0.08,5.529379053475005,0.25,peripheral
profile_0325,129225,55,0,0.0055890845015535,0.2,0.0655124684913474,0.065,4.880694317054901,0.22,peripheral
profile_0472,106070,72,0,0.0047186872169291,0.1,0.0655124684913474,0.065,4.104186748326499,0.13,peripheral
profile_0718,388514,29,0,0.0075931570777142,0.38,0.0,0.03,5.818765080849395,0.29,peripheral
profile_0669,324201,79,0,0.0048943762046503,0.13,0.0,0.03,4.864597236151201,0.21,peripheral
profile_0293,96044,5,0,0.0028336709986769,0.03,0.0,0.03,2.4244479295486374,0.05,peripheral
profile_0760,225617,96,0,0.0048806149225524,0.12,0.0,0.03,4.2948343494529455,0.16,peripheral
profile_0785,364420,60,0,0.0044949387769492,0.09,0.0,0.03,4.256112716088157,0.15,peripheral
