position_id,in_degree,out_degree,weighted_in_degree,weighted_out_degree,eigenvector_centrality,approx_betweenness,local_clustering,community_id,bridge_score,in_largest_component,has_prompt_peer_capacity
9,30,13,10.47818279143896,5.270307621107678,0.00538371862521088,0.00021629278886177252,0.31983805668016196,1,0.15607139019791771,True,True
10,30,379,22.828053115938157,125.27252597558375,0.021658347431083923,0.002128897491575303,0.046001577487723586,1,0.2974079203797829,True,True
49,30,1,5.2260849345651215,0.06551246849134745,0.004296919632277011,3.672988600554177e-05,0.17701149425287357,0,0.36445462294695585,True,True
105,30,0,10.799052978549947,0.0,0.003053409889844627,2.2967562408168046e-05,0.31724137931034485,1,0.27536951251167263,True,True
144,2,0,0.19382558442744083,0.0,7.6103068357816066e-06,1.9509241194689722e-07,0.0,2,0.0,True,False
223,30,2,7.811677119745437,0.23261316988300293,0.006852444063919822,5.671721141938283e-06,0.23655913978494625,0,0.04949631399339771,True,True
242,30,0,14.153685394213023,0.0,0.013543360045523433,6.751491069572444e-06,0.22758620689655173,0,0.15653121552131077,True,True
243,30,0,5.1368541521638456,0.0,0.004128127238163547,1.5480693847981414e-05,0.27586206896551724,0,0.17048465083469866,True,True
275,30,3,8.49941535354205,1.032097216910054,0.003020186619731432,1.6608970815522472e-05,0.25201612903225806,1,0.2619718325335413,True,True
351,13,3,1.1566229305309588,0.24686044051329104,0.0003768391910631974,1.1270715405262752e-05,0.11666666666666667,0,0.32549246074315175,True,True
409,30,5,5.0477893167558125,0.9842187563159508,0.0018521661502884092,0.00012490127797152887,0.11491935483870967,0,0.3133209394457289,True,True
444,25,1,2.6483798281810436,0.06551246849134745,0.0016537398065629815,5.570603563735056e-05,0.2,0,0.3404360335435743,True,True
516,30,13,12.002845325808106,2.041319145514545,0.013341231217018289,4.4197966767658994e-05,0.20789779326364694,0,0.10577175733291866,True,True
550,30,4,10.048039026270535,0.9186182664017069,0.007013528081743923,0.00020405122629585994,0.15508021390374332,2,0.7018544125434509,True,True
552,4,3,0.2620498739653898,0.5494868179074608,6.556618537808262e-05,9.611577315794964e-06,0.06666666666666667,2,0.4444444444444444,True,False
679,30,2,4.439894843530528,0.3626119991142027,0.0027620227165750318,6.0081171668602656e-05,0.1592741935483871,1,0.5449362398935043,True,True
944,30,7,15.135738473296687,0.6345116093681726,0.005822753172517397,2.556955390269419e-05,0.18618618618618618,1,0.23763216945355148,True,True
988,30,0,6.251402302873963,0.0,0.003268882037292481,5.7073100178510466e-05,0.20919540229885059,0,0.43003748145956977,True,True
1000,30,3,12.437345725228361,0.3708506669321187,0.009628445040376014,1.1689124965579208e-05,0.2556818181818182,0,0.16257341594351937,True,True
1016,30,3,3.9075002378919748,0.28772849305499226,0.00430561399004319,5.957753485646738e-06,0.24731182795698925,0,0.14386252197189975,True,True
1017,30,22,18.024842530229208,4.491488065683495,0.009092597532682434,2.4380124841004722e-05,0.14450354609929078,1,0.5653513982606964,True,True
1083,30,0,10.320061906453711,0.0,0.006844849987338659,4.052710697918778e-05,0.17701149425287357,0,0.46221656136117806,True,True
1175,30,1,7.188330582804935,0.06551246849134745,0.005647003707797088,1.2231862354024239e-05,0.19540229885057472,0,0.3766251270712806,True,True
1238,30,4,6.816766761177192,1.5483639564681817,0.0018870742247553318,0.00021203405905734714,0.14193548387096774,3,0.6623244168151801,True,True
1318,25,0,3.230571243609239,0.0,0.0026661284590946536,2.283631933897761e-05,0.21,0,0.40791121148320086,True,True
