term,label,ontology_group,ontology_family,feature_type,degree_centrality,eigenvector_centrality,betweenness_centrality,closeness_centrality,clustering_coefficient,pagerank,community,community_size,degree,strength,positive_degree,negative_degree,positive_strength,negative_strength,within_community_strength,between_community_strength,participation_coefficient,bridge_ratio,within_module_zscore,same_family_strength_share,signed_balance,k_core
profile_cat__profile_cat_sex_Female,Sex Female,Demographics: Sex,Demographics,Categorical dummy,0.23684210526315788,0.0,0.31721194879089615,0.07821931850117263,0.1612835121339265,0.015560242763797959,0,10,9,2.137698198276157,0,9,0.0,2.137698198276157,1.973941903851294,0.16375629442486317,0.1414717032053363,0.07660402883667886,-1.2761457030259535,0.46081527856271626,-1.0,6
profile_cont_big_five_neuroticism_self_consciousness_pct,Big Five Neuroticism Self Consciousness %,Big Five: Neuroticism,Big Five,Facet,0.2894736842105263,0.0,0.0,0.09972278668011914,0.4259284191241896,0.027636387922896202,4,7,11,6.402234723199884,6,5,5.542222548853775,0.8600121743461095,5.542222548853775,0.8600121743461102,0.23257089853970325,0.13432999749754093,-0.28171543431451224,1.0,0.7313400050049182,7
profile_cont_big_five_extraversion_positive_emotions_pct,Big Five Extraversion Positive Emotions %,Big Five: Extraversion,Big Five,Facet,0.18421052631578946,0.0,0.29871977240398295,0.08545251265328263,0.67411706243427,0.02613299769232464,3,7,7,5.654853471996175,7,0,5.654853471996174,0.0,5.4805602909081745,0.1742931810879993,0.059743772128312944,0.030821873979782092,-0.21075274347475628,1.0,1.0,6
profile_cont_big_five_extraversion_warmth_pct,Big Five Extraversion Warmth %,Big Five: Extraversion,Big Five,Facet,0.21052631578947367,0.0,0.38975817923186346,0.08934037370930492,0.5487379090312218,0.02666617016721083,3,7,8,5.81319298526733,6,2,5.459948649913921,0.35324433535340916,5.459948649913921,0.35324433535340916,0.1141469412772329,0.06076597426726658,-0.41838999261520476,1.0,0.8784680514654668,6
profile_cont_big_five_neuroticism_anger_hostility_pct,Big Five Neuroticism Anger Hostility %,Big Five: Neuroticism,Big Five,Facet,0.2894736842105263,0.0,0.12802275960170698,0.10105318900554662,0.33334095137015085,0.027449847875555943,4,7,11,6.348939619226146,6,5,5.525613837028519,0.8233257821976255,5.525613837028519,0.8233257821976272,0.2310690135210446,0.1296792585181303,-0.4664119562871515,1.0,0.7406414829637397,7
profile_cont_big_five_neuroticism_anxiety_pct,Big Five Neuroticism Anxiety %,Big Five: Neuroticism,Big Five,Facet,0.2631578947368421,0.0,0.310099573257468,0.10356308795077039,0.4541081404755651,0.027156335622426166,4,7,10,6.283147008681309,6,4,5.571176249634904,0.7119707590464044,5.571176249634904,0.7119707590464044,0.20567310622195434,0.11331435633492062,0.04026304835019611,1.0,0.7733712873301588,7
profile_cont_big_five_neuroticism_depression_pct,Big Five Neuroticism Depression %,Big Five: Neuroticism,Big Five,Facet,0.2894736842105263,0.0,0.021337126600284497,0.10197009795487548,0.43140922727552783,0.02799372092436816,4,7,11,6.494514478249962,6,5,5.571557626334757,0.9229568519152059,5.571557626334757,0.9229568519152052,0.24383421276537742,0.14211329499782852,0.044504132834368444,1.0,0.7157734100043428,7
profile_cont_big_five_neuroticism_impulsiveness_pct,Big Five Neuroticism Impulsiveness %,Big Five: Neuroticism,Big Five,Facet,0.21052631578947367,0.0,0.0,0.09870206723886779,0.6462977212084481,0.025543660065325255,4,7,8,5.87095243562393,6,2,5.536149933322604,0.3348025023013257,5.536149933322604,0.3348025023013257,0.1075497513224688,0.057026948518574545,-0.34924571478928884,1.0,0.8859461029628509,7
profile_cont_big_five_neuroticism_mean_pct,Big Five Neuroticism Mean %,Big Five: Neuroticism,Big Five,Trait aggregate,0.2894736842105263,0.0,0.0,0.10101570503406952,0.43154791591770647,0.028396740338907715,4,7,11,6.606228250870514,6,5,5.7696773780181685,0.8365508728523461,5.7696773780181685,0.8365508728523459,0.22119063331326783,0.12663063416588916,2.247686983798577,1.0,0.7467387316682217,7
profile_cont_big_five_neuroticism_stress_vulnerability_pct,Big Five Neuroticism Stress Vulnerability %,Big Five: Neuroticism,Big Five,Facet,0.23684210526315788,0.0,0.034139402560455195,0.10141986174390599,0.5529086249079804,0.02601374032801136,4,7,9,5.9876764776816485,6,3,5.456491779453109,0.5311846982285391,5.456491779453109,0.5311846982285386,0.1616859948606193,0.088712992461845,-1.2350810595921888,1.0,0.82257401507631,7
