profile_a,profile_b,feature_distance,moderation_distance
profile_0001,profile_0005,11.456196654090824,127.49509794497983
profile_0001,profile_0019,8.019281085838072,101.19782606360673
profile_0001,profile_0052,10.443213176437549,130.238243231395
profile_0001,profile_0063,10.116244178474728,144.52335451407154
profile_0001,profile_0065,11.541132519409622,118.0
profile_0001,profile_0066,11.087499788929291,123.75782803523985
profile_0001,profile_0076,7.6395648780238545,119.56588142108099
profile_0001,profile_0096,7.987052289890682,126.41598000252975
profile_0001,profile_0111,7.5839148444421145,119.24344845734713
profile_0001,profile_0131,7.852321448819961,107.22872749408155
profile_0001,profile_0143,10.217527316174923,133.67871932360814
profile_0001,profile_0144,5.626859167254487,111.53474794878949
profile_0001,profile_0148,8.158334414189374,137.66263109500704
profile_0001,profile_0165,8.02091504353252,126.66885963013956
profile_0001,profile_0167,9.618746902885274,112.50333328395207
profile_0001,profile_0172,8.20387827042623,105.65983153497832
profile_0001,profile_0176,8.406060637852324,131.32402674301454
profile_0001,profile_0186,7.144688437227301,94.66784036831093
profile_0001,profile_0204,11.28110474616936,147.83098457360012
profile_0001,profile_0217,10.303181076608366,109.17875251164945
profile_0001,profile_0219,7.301166082634261,122.09422590769803
profile_0001,profile_0233,9.693663588543583,137.01824696003084
profile_0001,profile_0248,8.742743713804865,145.78065715313537
profile_0001,profile_0253,6.329769398948217,115.80155439371269
profile_0001,profile_0269,10.278735504646013,157.49920634720672
profile_0001,profile_0272,12.147716753501264,120.38687636117153
profile_0001,profile_0280,11.720743891208025,149.78651474682226
profile_0001,profile_0287,10.966638584061915,131.6624471897739
profile_0001,profile_0293,8.137713397390087,103.70631610466162
profile_0001,profile_0295,10.469595415881313,142.48157775656472
profile_0001,profile_0297,9.832081130493238,141.96478436570106
profile_0001,profile_0307,8.958043604376606,146.46842663181715
profile_0001,profile_0308,12.815513060575178,144.183910336764
profile_0001,profile_0325,7.227360667810175,144.15269681833914
profile_0001,profile_0345,9.630715345232858,127.20849028268515
profile_0001,profile_0353,12.41141142669249,145.9828757080775
profile_0001,profile_0355,6.530367350207931,115.25623627379127
profile_0001,profile_0360,10.508713546107236,129.80369794424195
profile_0001,profile_0364,8.144786465412519,115.00869532344065
profile_0001,profile_0368,9.680283824562812,114.07453703609758
profile_0001,profile_0372,6.367858204861847,125.0799744163709
profile_0001,profile_0390,4.952539595550921,151.76626766182267
profile_0001,profile_0391,6.526874985016483,130.5526713629407
profile_0001,profile_0393,11.09023859321986,115.68923891183657
profile_0001,profile_0395,12.021828489255748,116.3486140871476
profile_0001,profile_0397,8.919855735794169,132.664991614216
profile_0001,profile_0416,8.838229464617045,142.1407752898513
profile_0001,profile_0424,10.007721803093439,109.61751684835777
profile_0001,profile_0427,10.664797772664821,145.57815770231468
profile_0001,profile_0433,10.310219053863554,113.17243480636087
profile_0001,profile_0445,8.957576292494739,167.86303941010956
profile_0001,profile_0458,12.726550475771056,137.84048752090223
profile_0001,profile_0466,12.156061939745188,116.3958762156117
profile_0001,profile_0472,11.990061981550031,140.28185912654564
profile_0001,profile_0475,8.981048723784692,139.82489048806724
profile_0001,profile_0486,11.645442593219796,148.2362978490761
profile_0001,profile_0503,12.034305396665038,111.03152705425607
profile_0001,profile_0509,7.823309947661436,97.28309205612247
profile_0001,profile_0519,10.958080200300982,108.42047777057617
profile_0001,profile_0521,11.647840788013278,124.77179168385777
profile_0001,profile_0533,10.588585995694626,123.00406497347964
profile_0001,profile_0535,8.346465813071823,157.3848785620779
profile_0001,profile_0542,9.63068320200512,152.60733927305068
profile_0001,profile_0560,9.79024458043272,141.79210133149166
profile_0001,profile_0579,10.532445420826548,154.12981541544778
profile_0001,profile_0585,7.375225203564945,130.6866481320873
profile_0001,profile_0590,10.423866138244929,107.49418588928427
profile_0001,profile_0596,9.066144231804394,135.50645741070792
profile_0001,profile_0608,12.602441331638662,176.52761823578768
profile_0001,profile_0610,6.674298237155283,114.15778554264269
profile_0001,profile_0613,9.214486869482402,139.2372076709383
profile_0001,profile_0618,13.184164832372398,132.14007719083563
profile_0001,profile_0633,11.16873789264095,124.08867796862049
profile_0001,profile_0641,9.721362858434187,139.04675472660267
profile_0001,profile_0645,9.869829425641017,138.63260799682016
profile_0001,profile_0649,9.432383559800478,143.0873858870865
profile_0001,profile_0657,8.003862121327693,133.6899397860587
profile_0001,profile_0663,9.392124901975928,160.60821896777264
profile_0001,profile_0669,14.30088670462415,115.4426264427486
profile_0001,profile_0673,11.669026457761351,115.46428019088847
profile_0001,profile_0688,6.447277503659645,101.21264743103995
profile_0001,profile_0694,9.913719126830374,133.62634470792054
profile_0001,profile_0711,9.356350390342138,162.64070831129578
profile_0001,profile_0716,12.154010809207318,114.45086281894078
profile_0001,profile_0717,9.864256105729654,129.1743008496659
profile_0001,profile_0718,10.146603687584319,134.43213901444847
profile_0001,profile_0726,8.45185981576217,177.2032731074683
profile_0001,profile_0745,10.653862853034976,129.20913280414817
profile_0001,profile_0747,5.877248875526805,120.18735374406077
profile_0001,profile_0749,11.011151661932418,126.15863030328127
profile_0001,profile_0753,6.356853884977977,160.14680764848234
profile_0001,profile_0754,10.13602131960547,116.2497311824849
profile_0001,profile_0760,9.82374332675239,141.62273828732447
profile_0001,profile_0775,8.767369476458216,136.36715146984628
profile_0001,profile_0778,8.302477492277868,146.338648346908
profile_0001,profile_0785,9.354428889972116,148.56984889270097
profile_0001,profile_0790,10.000649754939793,134.95554823718808
profile_0001,profile_0794,6.174762796329997,141.2692464763651
profile_0001,profile_0795,11.293858590216677,130.19216566291536
profile_0005,profile_0019,10.78089849452204,99.66945369570358
profile_0005,profile_0052,7.354071553270889,89.61584681293817
profile_0005,profile_0063,9.107203546975775,116.68761716651858
profile_0005,profile_0065,9.092871859969629,98.93937537704592
profile_0005,profile_0066,8.95716524996593,112.75194011634566
profile_0005,profile_0076,10.541331605106691,118.9915963419266
profile_0005,profile_0096,7.533644093816864,102.15674231297707
profile_0005,profile_0111,9.469058523297553,113.26958991715296
profile_0005,profile_0131,9.915162208110187,104.93331215586402
profile_0005,profile_0143,6.372544708598067,100.47387720198718
profile_0005,profile_0144,9.412241558191647,98.90904913100722
profile_0005,profile_0148,6.614828747306843,111.50784725749125
profile_0005,profile_0165,12.809313793631222,105.35653752852738
profile_0005,profile_0167,7.254002231625334,98.42763839491425
profile_0005,profile_0172,7.798555319544512,120.52800504447089
profile_0005,profile_0176,9.247635520173777,94.77868958790262
profile_0005,profile_0186,8.51750161824905,104.61835403025609
profile_0005,profile_0204,12.838208099864422,133.05262116922012
profile_0005,profile_0217,5.939185690924382,95.9218431849597
profile_0005,profile_0219,8.795970026183793,115.16075720487426
profile_0005,profile_0233,9.342476143957375,107.08407911543154
profile_0005,profile_0248,11.952736827077334,138.1195134656939
profile_0005,profile_0253,8.533114743044049,102.88342918079665
profile_0005,profile_0269,9.860811344929678,117.17081547894082
profile_0005,profile_0272,8.37967935572764,125.55476892575606
profile_0005,profile_0280,11.060099262544554,136.60527076214885
profile_0005,profile_0287,11.063689309971394,119.37336386313322
profile_0005,profile_0293,7.5915717624922,116.88455843266894
profile_0005,profile_0295,8.266921971350321,118.4145261359433
profile_0005,profile_0297,6.764413358262026,103.60019305001319
profile_0005,profile_0307,12.607941734785527,88.10221336606703
profile_0005,profile_0308,5.713569474531819,116.34431657799189
profile_0005,profile_0325,12.775918315015693,116.56328753085167
profile_0005,profile_0345,7.038257033207212,98.28021163998376
profile_0005,profile_0353,9.366407759345883,122.37646832622684
profile_0005,profile_0355,9.614176530389411,98.51395840184273
profile_0005,profile_0360,10.804616234290902,110.54410884348383
profile_0005,profile_0364,11.412704660526716,95.94790253048787
profile_0005,profile_0368,4.480660787742749,94.37160589923221
profile_0005,profile_0372,10.275557881491407,90.42123644365851
profile_0005,profile_0390,10.766959559997854,119.18892566006289
profile_0005,profile_0391,9.660029899343751,132.0416600925632
profile_0005,profile_0393,6.213148300347371,83.42062095189654
profile_0005,profile_0395,8.077671179243271,110.00909053346456
profile_0005,profile_0397,9.551351938838302,122.07784401765949
profile_0005,profile_0416,7.386329762000136,126.4871534978948
profile_0005,profile_0424,9.6932856027805,124.25377257854186
profile_0005,profile_0427,5.3800979050792455,118.68445559549912
profile_0005,profile_0433,9.528525160316848,97.58585963140357
profile_0005,profile_0445,5.618264244254938,139.09349373712632
profile_0005,profile_0458,6.274772392894026,114.06577050105786
profile_0005,profile_0466,7.754118309722018,89.63816151617569
profile_0005,profile_0472,7.368126527023147,115.00434774390054
profile_0005,profile_0475,6.624966653676045,113.54294341789806
profile_0005,profile_0486,8.97597325847707,100.15488006083378
profile_0005,profile_0503,7.083925633786189,119.71215477135144
profile_0005,profile_0509,8.355116454617594,111.90621073023605
profile_0005,profile_0519,9.770936126028134,100.80674580602232
profile_0005,profile_0521,6.356927183718731,101.26697388586271
profile_0005,profile_0533,4.7088621973673925,142.93704908105525
profile_0005,profile_0535,9.505667183474218,126.36850873536493
profile_0005,profile_0542,11.730250303570726,126.97243795406939
profile_0005,profile_0560,11.197885212051334,105.26157893552613
profile_0005,profile_0579,8.585589132689021,138.02535998866296
profile_0005,profile_0585,10.074202673887232,104.90948479522717
profile_0005,profile_0590,7.871980112825193,86.7179335547152
profile_0005,profile_0596,11.2787962719881,107.24271537032247
profile_0005,profile_0608,7.511053623864338,140.7089194045637
profile_0005,profile_0610,6.686711266490774,90.10549372818508
profile_0005,profile_0613,10.18704823639362,124.04031602668546
profile_0005,profile_0618,8.532508505968192,115.05650785592269
profile_0005,profile_0633,10.880568013470409,115.0
profile_0005,profile_0641,10.639491603910125,113.13266548614507
profile_0005,profile_0645,13.228978550288703,146.91494137765565
profile_0005,profile_0649,9.28936517212508,127.30671624073885
profile_0005,profile_0657,6.655939302098257,81.69455306200041
profile_0005,profile_0663,8.558108609823167,152.7023248022112
profile_0005,profile_0669,8.338820408823338,123.58802530989804
profile_0005,profile_0673,9.329762739666183,101.57263410978372
profile_0005,profile_0688,9.766174102217747,80.20598481410225
profile_0005,profile_0694,5.4194432153546765,112.11155159036913
profile_0005,profile_0711,11.32888942607725,118.50316451470822
profile_0005,profile_0716,6.16894966659926,81.76796438703852
profile_0005,profile_0717,10.574298780214741,96.04686356149273
