moderator_column,moderator_label,ontology_group,ridge_estimate,multivariate_estimate,multivariate_p_value,multivariate_q_value,multivariate_conf_low,multivariate_conf_high,univariate_estimate,univariate_conf_low,univariate_conf_high,elastic_net_estimate,rf_permutation_importance,normalized_weight_pct,ridge_mean_estimate,role
profile_cont_big_five_neuroticism_depression_pct,Big Five Neuroticism Depression %,Big Five: Neuroticism,0.21896776676009183,,,,,,,,,0.24994701596701585,,,,expanded
profile_cont_big_five_neuroticism_anxiety_pct,Big Five Neuroticism Anxiety %,Big Five: Neuroticism,0.1892537499624175,,,,,,,,,0.2090524072485437,,,,expanded
profile_cont_big_five_neuroticism_stress_vulnerability_pct,Big Five Neuroticism Stress Vulnerability %,Big Five: Neuroticism,0.17992071274096363,,,,,,,,,0.19071591322309173,,,,expanded
profile_cont_big_five_openness_to_experience_aesthetics_pct,Big Five Openness To Experience Aesthetics %,Big Five: Openness,0.15595658673386056,,,,,,,,,0.17326858606465675,,,,expanded
profile_cont_big_five_neuroticism_mean_pct,Big Five Neuroticism Mean %,Big Five: Neuroticism,0.15572003563569614,,,,,,,,,0.15523502663911207,,,,expanded
profile_cont_chronological_age,Chronological Age,Demographics: Age,-0.15547503372062374,,,,,,,,,-0.14283204638657462,,,,expanded
profile_cont_big_five_openness_to_experience_feelings_pct,Big Five Openness To Experience Feelings %,Big Five: Openness,0.14645010899719116,,,,,,,,,0.15893263430388027,,,,expanded
profile_cat__profile_cat_sex_Male,Sex Male,Demographics: Sex,0.14240820280009495,,,,,,,,,0.12927200065576636,,,,expanded
profile_cat__profile_cat_sex_Female,Sex Female,Demographics: Sex,-0.13855259757694996,-1.12723419960618,0.05761285083446057,0.100822488960306,-2.290881601254789,0.03641320204242837,-1.004786223443972,-2.13445210250459,0.12487965561664627,-0.12688621649641993,0.009572850693821402,2.1894421628842573,-0.07415155803624891,core
profile_cont_big_five_openness_to_experience_mean_pct,Big Five Openness To Experience Mean %,Big Five: Openness,0.11899358844128022,,,,,,,,,0.1182506699135054,,,,expanded
profile_cont_big_five_agreeableness_straightforwardness_pct,Big Five Agreeableness Straightforwardness %,Big Five: Agreeableness,-0.11427202197942232,,,,,,,,,-0.05322992697444277,,,,expanded
profile_cont_big_five_openness_to_experience_ideas_pct,Big Five Openness To Experience Ideas %,Big Five: Openness,0.11421517597872649,,,,,,,,,0.10600013379784363,,,,expanded
profile_cont_big_five_neuroticism_anger_hostility_pct,Big Five Neuroticism Anger Hostility %,Big Five: Neuroticism,0.11180635445073647,,,,,,,,,0.08262785060144079,,,,expanded
profile_cont_big_five_openness_to_experience_fantasy_pct,Big Five Openness To Experience Fantasy %,Big Five: Openness,0.11155730263383518,,,,,,,,,0.10267172067903764,,,,expanded
profile_cont_big_five_conscientiousness_competence_pct,Big Five Conscientiousness Competence %,Big Five: Conscientiousness,-0.10361387320810293,,,,,,,,,-0.11048302738256763,,,,expanded
