profile_id,raw_mean_ae,eb_mean_ae,shrinkage_weight,n_obs,within_sd,eb_rank,eb_percentile
profile_0001,29.485714285714284,29.421142857142858,0.0,35,18.95873448955331,50.5,50.5
profile_0542,26.314285714285713,29.421142857142858,0.0,35,17.75780098430882,50.5,50.5
profile_0633,31.085714285714285,29.421142857142858,0.0,35,16.453805975896184,50.5,50.5
profile_0618,25.8,29.421142857142858,0.0,35,10.983409949448625,50.5,50.5
profile_0613,31.057142857142857,29.421142857142858,0.0,35,18.753733521845817,50.5,50.5
profile_0610,28.571428571428573,29.421142857142858,0.0,35,12.605520999302865,50.5,50.5
profile_0608,27.37142857142857,29.421142857142858,0.0,35,20.886367231628714,50.5,50.5
profile_0596,26.457142857142856,29.421142857142858,0.0,35,14.11787114668092,50.5,50.5
profile_0590,23.228571428571428,29.421142857142858,0.0,35,12.7788559606823,50.5,50.5
profile_0585,26.885714285714286,29.421142857142858,0.0,35,13.341160167760847,50.5,50.5
profile_0579,25.085714285714285,29.421142857142858,0.0,35,23.207974578442073,50.5,50.5
profile_0560,29.4,29.421142857142858,0.0,35,16.78444658184545,50.5,50.5
profile_0535,29.257142857142856,29.421142857142858,0.0,35,18.350096741438943,50.5,50.5
profile_0005,29.0,29.421142857142858,0.0,35,15.813248354762907,50.5,50.5
profile_0533,32.22857142857143,29.421142857142858,0.0,35,17.455971023399066,50.5,50.5
profile_0521,29.257142857142856,29.421142857142858,0.0,35,14.028003206072482,50.5,50.5
profile_0519,24.942857142857143,29.421142857142858,0.0,35,10.916643680348711,50.5,50.5
profile_0509,30.514285714285716,29.421142857142858,0.0,35,15.452719974873315,50.5,50.5
profile_0503,30.057142857142857,29.421142857142858,0.0,35,17.73322381550394,50.5,50.5
profile_0486,27.771428571428572,29.421142857142858,0.0,35,13.696469519950183,50.5,50.5
profile_0475,30.428571428571427,29.421142857142858,0.0,35,13.33788437736156,50.5,50.5
profile_0472,31.457142857142856,29.421142857142858,0.0,35,18.013626961345707,50.5,50.5
profile_0466,25.314285714285713,29.421142857142858,0.0,35,8.123210856665532,50.5,50.5
profile_0458,28.34285714285714,29.421142857142858,0.0,35,15.595894741024296,50.5,50.5
profile_0641,32.857142857142854,29.421142857142858,0.0,35,18.19040286256797,50.5,50.5
profile_0645,29.057142857142857,29.421142857142858,0.0,35,21.81465084746118,50.5,50.5
profile_0649,27.65714285714286,29.421142857142858,0.0,35,15.33535487830971,50.5,50.5
profile_0657,28.314285714285713,29.421142857142858,0.0,35,15.567257170045062,50.5,50.5
profile_0794,33.97142857142857,29.421142857142858,0.0,35,22.97759229987249,50.5,50.5
profile_0790,27.228571428571428,29.421142857142858,0.0,35,12.438284623280973,50.5,50.5
profile_0785,33.628571428571426,29.421142857142858,0.0,35,18.295106568963952,50.5,50.5
profile_0778,31.742857142857144,29.421142857142858,0.0,35,18.010361163610725,50.5,50.5
profile_0775,31.428571428571427,29.421142857142858,0.0,35,15.471578713859799,50.5,50.5
profile_0760,27.97142857142857,29.421142857142858,0.0,35,14.324979651532027,50.5,50.5
profile_0754,30.857142857142858,29.421142857142858,0.0,35,10.65265185747843,50.5,50.5
profile_0753,38.371428571428574,29.421142857142858,0.0,35,21.490197100738083,50.5,50.5
profile_0749,29.485714285714284,29.421142857142858,0.0,35,17.090367821346256,50.5,50.5
profile_0747,29.114285714285714,29.421142857142858,0.0,35,16.43842598120318,50.5,50.5
profile_0745,24.542857142857144,29.421142857142858,0.0,35,16.45732959744659,50.5,50.5
profile_0726,29.285714285714285,29.421142857142858,0.0,35,22.450692939091617,50.5,50.5
profile_0718,27.085714285714285,29.421142857142858,0.0,35,16.392917101371463,50.5,50.5
profile_0717,29.37142857142857,29.421142857142858,0.0,35,15.807827015690147,50.5,50.5
profile_0716,26.82857142857143,29.421142857142858,0.0,35,12.050105477414162,50.5,50.5
profile_0711,29.37142857142857,29.421142857142858,0.0,35,18.106036878029702,50.5,50.5
profile_0694,30.285714285714285,29.421142857142858,0.0,35,14.244857541813277,50.5,50.5
profile_0688,27.085714285714285,29.421142857142858,0.0,35,13.541594806962967,50.5,50.5
profile_0673,29.142857142857142,29.421142857142858,0.0,35,11.988089327089854,50.5,50.5
profile_0669,26.257142857142856,29.421142857142858,0.0,35,15.50586768849487,50.5,50.5
profile_0663,30.314285714285713,29.421142857142858,0.0,35,24.621572832365842,50.5,50.5
profile_0445,34.457142857142856,29.421142857142858,0.0,35,22.06853343716403,50.5,50.5
profile_0433,30.285714285714285,29.421142857142858,0.0,35,16.15107249866531,50.5,50.5
profile_0427,33.457142857142856,29.421142857142858,0.0,35,17.436174123563543,50.5,50.5
profile_0253,30.114285714285714,29.421142857142858,0.0,35,13.932128397365291,50.5,50.5
profile_0233,29.02857142857143,29.421142857142858,0.0,35,14.997030518397565,50.5,50.5
profile_0219,30.942857142857143,29.421142857142858,0.0,35,14.790582968152915,50.5,50.5
profile_0217,28.17142857142857,29.421142857142858,0.0,35,13.878645709243,50.5,50.5
profile_0204,32.05714285714286,29.421142857142858,0.0,35,17.077578794401493,50.5,50.5
profile_0186,28.914285714285715,29.421142857142858,0.0,35,14.36779779386452,50.5,50.5
profile_0176,31.2,29.421142857142858,0.0,35,16.50632677276843,50.5,50.5
profile_0172,29.485714285714284,29.421142857142858,0.0,35,16.152529265742633,50.5,50.5
profile_0167,27.057142857142857,29.421142857142858,0.0,35,16.65911313426282,50.5,50.5
profile_0165,31.4,29.421142857142858,0.0,35,14.198591479439077,50.5,50.5
profile_0148,28.885714285714286,29.421142857142858,0.0,35,11.863863641504047,50.5,50.5
profile_0144,27.02857142857143,29.421142857142858,0.0,35,15.75825780584993,50.5,50.5
profile_0143,30.057142857142857,29.421142857142858,0.0,35,13.900788926284337,50.5,50.5
profile_0131,30.057142857142857,29.421142857142858,0.0,35,15.75537790004128,50.5,50.5
profile_0111,25.514285714285716,29.421142857142858,0.0,35,17.8480043843619,50.5,50.5
profile_0096,25.514285714285716,29.421142857142858,0.0,35,9.598932013423125,50.5,50.5
profile_0076,35.42857142857143,29.421142857142858,0.0,35,16.04458074954193,50.5,50.5
profile_0066,32.4,29.421142857142858,0.0,35,14.801033350252748,50.5,50.5
profile_0065,25.428571428571427,29.421142857142858,0.0,35,13.414841899675048,50.5,50.5
profile_0063,32.25714285714286,29.421142857142858,0.0,35,19.344162909142963,50.5,50.5
profile_0052,31.085714285714285,29.421142857142858,0.0,35,15.49453685235243,50.5,50.5
profile_0019,26.885714285714286,29.421142857142858,0.0,35,11.1137737239227,50.5,50.5
profile_0248,32.97142857142857,29.421142857142858,0.0,35,21.241587558767982,50.5,50.5
profile_0269,28.8,29.421142857142858,0.0,35,14.905190568468186,50.5,50.5
profile_0424,30.97142857142857,29.421142857142858,0.0,35,17.35187007091694,50.5,50.5
profile_0272,28.02857142857143,29.421142857142858,0.0,35,17.289040585577556,50.5,50.5
profile_0416,31.142857142857142,29.421142857142858,0.0,35,19.05740994861526,50.5,50.5
profile_0397,31.65714285714286,29.421142857142858,0.0,35,15.341107516471316,50.5,50.5
profile_0395,26.65714285714286,29.421142857142858,0.0,35,13.896556613574662,50.5,50.5
profile_0393,29.542857142857144,29.421142857142858,0.0,35,8.486469705786199,50.5,50.5
profile_0391,33.94285714285714,29.421142857142858,0.0,35,17.878582088045786,50.5,50.5
profile_0390,32.371428571428574,29.421142857142858,0.0,35,19.57502267189088,50.5,50.5
profile_0372,33.51428571428571,29.421142857142858,0.0,35,13.686342330460489,50.5,50.5
profile_0368,26.314285714285713,29.421142857142858,0.0,35,12.344971418668049,50.5,50.5
profile_0364,29.285714285714285,29.421142857142858,0.0,35,16.037770544362253,50.5,50.5
profile_0360,30.714285714285715,29.421142857142858,0.0,35,16.750015677905623,50.5,50.5
profile_0355,29.65714285714286,29.421142857142858,0.0,35,15.119023577915996,50.5,50.5
profile_0353,27.457142857142856,29.421142857142858,0.0,35,15.649361680541586,50.5,50.5
profile_0345,28.228571428571428,29.421142857142858,0.0,35,16.680537645245547,50.5,50.5
profile_0325,33.142857142857146,29.421142857142858,0.0,35,18.913336186783276,50.5,50.5
profile_0308,29.914285714285715,29.421142857142858,0.0,35,17.32962683921828,50.5,50.5
profile_0307,29.34285714285714,29.421142857142858,0.0,35,14.092014545464385,50.5,50.5
profile_0297,29.257142857142856,29.421142857142858,0.0,35,16.42691990237341,50.5,50.5
profile_0295,26.485714285714284,29.421142857142858,0.0,35,13.556789982213662,50.5,50.5
profile_0293,26.6,29.421142857142858,0.0,35,15.045421425880798,50.5,50.5
profile_0287,31.114285714285714,29.421142857142858,0.0,35,14.960283554585903,50.5,50.5
profile_0280,30.62857142857143,29.421142857142858,0.0,35,15.179486378751065,50.5,50.5
profile_0795,26.685714285714287,29.421142857142858,0.0,35,14.914997246300212,50.5,50.5
