term,estimate,std_err,t_value,p_value,ci_low,ci_high
Intercept,3686586.9313527197,,,,,
profile_cat__profile_cat_sex_Female,-3686560.307287998,,,,,
profile_cat__profile_cat_sex_Male,-3686559.3446524306,,,,,
profile_cat__profile_cat_sex_Other,-3686560.090594571,,,,,
profile_cont_big_five_agreeableness_altruism_pct,183.27949471694313,239.4047291100417,0.7655633846426619,0.44393613813293964,-285.9451520673065,652.5041415011927
profile_cont_big_five_agreeableness_compliance_pct,183.32575432508,239.39827748692537,0.7657772488989285,0.44380885364715794,-285.88624751021973,652.5377561603798
profile_cont_big_five_agreeableness_mean_pct,-1099.6232163741658,1436.4237384982976,-0.7655284348918946,0.44395694097708027,-3914.9620103692096,1715.715577620878
profile_cont_big_five_agreeableness_modesty_pct,183.29778770680844,239.4022616542541,0.7656476862007594,0.44388596232099,-285.922022952964,652.5175983665808
profile_cont_big_five_agreeableness_straightforwardness_pct,183.22305113239898,239.4067211403651,0.7653212502124139,0.44408027318830334,-286.00549995954066,652.4516022243386
profile_cont_big_five_agreeableness_tender_mindedness_pct,183.2156718759659,239.40728220484192,0.7652886336147566,0.44409969087060286,-286.01397888214126,652.445322634073
profile_cont_big_five_agreeableness_trust_pct,183.28435687124392,239.40329982433678,0.7655882646802681,0.44392132933802797,-285.9374885645004,652.5062023069883
profile_cont_big_five_conscientiousness_achievement_striving_pct,-23.604623722881083,268.9405589027122,-0.08776892492225365,0.9300603367410871,-550.7184331542701,503.5091857085079
profile_cont_big_five_conscientiousness_competence_pct,-23.629698325659035,268.944789928999,-0.08786077741791257,0.9299873310859862,-550.7518004161877,503.4924037648696
profile_cont_big_five_conscientiousness_deliberation_pct,-23.555443478995766,268.96346718451315,-0.08757859840807437,0.9302116128033475,-550.7141523176623,503.60326535967073
profile_cont_big_five_conscientiousness_dutifulness_pct,-23.541499276175657,268.9383039447946,-0.08753494363156264,0.9302463110187751,-550.6508890712594,503.5678905189081
profile_cont_big_five_conscientiousness_mean_pct,141.4743612300163,1613.6701635023899,0.08767241560874704,0.9301370443345567,-3021.261042161528,3304.2097646215607
profile_cont_big_five_conscientiousness_order_pct,-23.583830757858014,268.9407700666337,-0.08769154171758636,0.9301218424570682,-550.6980540629279,503.5303925472119
profile_cont_big_five_conscientiousness_self_discipline_pct,-23.58034369242354,268.94181336339363,-0.08767823566565243,0.9301324184148567,-550.6966118215681,503.5359244367211
profile_cont_big_five_extraversion_activity_level_pct,-168.6374414625746,226.7342842067482,-0.7437668372587276,0.457017546208874,-613.0284725682699,275.7535896431207
profile_cont_big_five_extraversion_assertiveness_pct,-168.62574509644836,226.7396221803403,-0.7436977422601935,0.45705935564822764,-613.0272384381345,275.77574824523776
profile_cont_big_five_extraversion_excitement_seeking_pct,-168.60894612962662,226.7356579869553,-0.7436366543604145,0.45709632177509674,-613.0026697950505,275.78477753579716
profile_cont_big_five_extraversion_gregariousness_pct,-168.6027196233893,226.73680345101818,-0.7436054361585478,0.4571152134970784,-612.998688357122,275.79324911034337
profile_cont_big_five_extraversion_mean_pct,1011.7345889284242,1360.4133024851094,0.7436964833262487,0.4570601174501029,-1654.6264880315844,3678.095665888433
profile_cont_big_five_extraversion_positive_emotions_pct,-168.6618508692148,226.74024101065012,-0.7438549510110675,0.4569642316233119,-613.0645570960207,275.7408553575912
profile_cont_big_five_extraversion_warmth_pct,-168.5894282242519,226.7298215015302,-0.7435697126551748,0.45713683214424194,-612.9717125884463,275.7928561399425
profile_cont_big_five_neuroticism_anger_hostility_pct,13.450384587300226,257.0246533294389,0.052331106814334755,0.9582648676131466,-490.3086790772929,517.2094482518934
profile_cont_big_five_neuroticism_anxiety_pct,13.475655118245598,257.01991361106565,0.05243039315092751,0.9581857571819359,-490.2741188690391,517.2254291055303
profile_cont_big_five_neuroticism_depression_pct,13.518345635316887,257.0188533114943,0.05259670822254161,0.9580532398000504,-490.22935020299514,517.2660414736289
profile_cont_big_five_neuroticism_impulsiveness_pct,13.45323215933386,257.0304483970783,0.05234100567941422,0.9582569802708932,-490.3171896291205,517.2236539477882
profile_cont_big_five_neuroticism_mean_pct,-80.72627802636634,1542.1246524699527,-0.05234744020016193,0.9582518532946922,-3103.235056538821,2941.7825004860883
profile_cont_big_five_neuroticism_self_consciousness_pct,13.400416838121036,257.0134302204901,0.052138975098013005,0.9584179575475715,-490.33664993713785,517.1374836133799
profile_cont_big_five_neuroticism_stress_vulnerability_pct,13.473982515341648,257.02085770623006,0.05242369290799797,0.9581910958603471,-490.27764186446325,517.2256068951466
profile_cont_big_five_openness_to_experience_actions_pct,33.076771333932385,259.80952836702323,0.12731161763707935,0.8986937655852674,-476.1405471057707,542.2940897736354
profile_cont_big_five_openness_to_experience_aesthetics_pct,33.11256399410788,259.81407194786226,0.12744715382757515,0.8985864971336744,-476.11365970040055,542.3387876886163
profile_cont_big_five_openness_to_experience_fantasy_pct,33.097912334137966,259.7983151137402,0.12739848724441355,0.8986250134894662,-476.09742853298087,542.2932532012568
profile_cont_big_five_openness_to_experience_feelings_pct,33.130501294190275,259.8079870830388,0.12751917932223242,0.8985294941952926,-476.08379628441344,542.344798872794
profile_cont_big_five_openness_to_experience_ideas_pct,33.09667554298057,259.804969912309,0.1273904635240487,0.898631363752098,-476.1117084896574,542.3050595756185
profile_cont_big_five_openness_to_experience_mean_pct,-198.5691659159499,1558.8383649730395,-0.12738278090774613,0.898637444058715,-3253.836218982411,2856.6978871505116
profile_cont_big_five_openness_to_experience_values_pct,33.09234435877736,259.80171504287756,0.12737538839308976,0.8986432947737799,-476.10966024700065,542.2943489645554
profile_cont_chronological_age,-0.02835500145696425,0.030067310614751208,-0.9430508042529454,0.3456549173822041,-0.08728584737385549,0.03057584445992699
Group Var,0.021072032081135415,,,,,
