feature,vif
Extraversion,1.0031944572900262
Socio-cultural liberalism,1.0026248169353367
Conscientiousness,1.0024709646085335
Dual-process threat,1.0023985017072001
System justification,1.0023423775212672
Economic left/right,1.0021561059388773
Populism,1.0020761465592036
Age,1.0019989993694933
Nationalism/cosmopolitanism,1.0019714728014253
GAL,1.0018995936209492
Neuroticism,1.0018813022976878
Openness,1.0018642241457254
TAN,1.0018581271323983
RWA,1.0016566753040004
Libertarianism,1.0016464728098997
Agreeableness,1.0014956901079908
SDO,1.0014831688698425
Authoritarianism,1.0014372476007118
