feature,vif
personality_hexad_user_types_model_player_mean_pct,67.37092344843485
personality_hexad_user_types_model_achiever_mean_pct,67.07135552242471
personality_hexad_user_types_model_philanthropist_mean_pct,66.38245274608441
personality_hexad_user_types_model_socialiser_mean_pct,65.58644526741934
personality_hexad_user_types_model_disruptor_mean_pct,65.3606991023564
personality_hexad_user_types_model_free_spirit_mean_pct,65.07584372851153
demographics_and_identity_political_profile_nationalism_and_cosmopolitanism_model_mean_pct,58.991645167906846
political_profile_ideological_dimensions_two_axis_model_economic_left_right_mean_pct,58.5501040816698
personality_big_five_extraversion_mean_pct,58.446316620158015
personality_big_five_agreeableness_mean_pct,57.90291037789486
personality_big_five_conscientiousness_mean_pct,57.80447112267254
personality_big_five_openness_to_experience_mean_pct,57.59177181222322
personality_big_five_neuroticism_mean_pct,57.36502638253401
demographics_and_identity_political_profile_political_trust_and_legitimacy_model_mean_pct,57.229729954322806
political_profile_ideological_dimensions_two_axis_model_socio_cultural_liberal_conservative_mean_pct,50.24426894862291
demographics_and_identity_political_profile_system_justification_theory_mean_pct,41.60721483594325
personality_hexaco_openness_to_experience_mean_pct,41.54896823427774
personality_eysenck_pen_model_extraversion_mean_pct,41.47930790241052
demographics_and_identity_political_profile_dual_process_motivational_model_mean_pct,41.23112294820866
personality_hexaco_extraversion_mean_pct,41.20652818089275
political_profile_gal_tan_model_traditional_authoritarian_nationalist_mean_pct,41.18472659028552
political_profile_libertarian_authoritarian_dimension_model_authoritarianism_mean_pct,41.18127051270579
personality_hexaco_agreeableness_mean_pct,41.13937271681781
political_profile_libertarian_authoritarian_dimension_model_libertarianism_mean_pct,40.96899164428178
personality_hexaco_honesty_humility_mean_pct,40.704138664497016
personality_eysenck_pen_model_neuroticism_mean_pct,40.53972638414255
personality_eysenck_pen_model_psychoticism_mean_pct,40.219373464129276
personality_hexaco_emotionality_mean_pct,40.03720419712011
demographics_and_identity_political_profile_populist_attitudes_model_mean_pct,40.0298032587332
political_profile_gal_tan_model_green_alternative_libertarian_mean_pct,39.99447036718843
personality_hexaco_conscientiousness_mean_pct,39.86497216906236
demographics_and_identity_political_profile_right_wing_authoritarianism_model_mean_pct,32.099061258133695
