opinion_label,attack_label,n_profiles,centrality_susceptibility_excess_z,centrality_susceptibility_excess,centrality_susceptibility_alignment_index,alignment_direction,mean_ae_private,mean_pn_increment_effectivity,mean_ae_total_network,median_ae_total_network,network_lift_over_private
Alliance_Commitment_Support,Multi_Turn_Counter_Argument_Adaptation,60,0.1554645343913471,3.778054747866399,0.07057543248445386,centrality_on_susceptible_profiles,43.4,22.45,65.85,61.0,22.449999999999996
Trust_In_Mainstream_Journalism,Personal_Safety_Fear_Appeal,60,0.1042837749151712,1.0756615682856463,0.04819862471941705,centrality_on_susceptible_profiles,21.15,15.016666666666667,36.166666666666664,35.0,15.016666666666666
Alliance_Commitment_Support,Petition_Astroturf,60,0.0671343403659741,1.155813854021261,0.03755179255009544,centrality_on_susceptible_profiles,35.166666666666664,17.483333333333334,52.65,49.0,17.483333333333334
Trust_In_Mainstream_Journalism,Headline_And_Lede_Misframing,60,0.044764617522834574,0.5199953020034691,0.0791253042560498,centrality_on_susceptible_profiles,22.283333333333335,15.533333333333333,37.81666666666667,35.0,15.533333333333335
Defense_Spending_Increase_Support,Multi_Turn_Counter_Argument_Adaptation,60,-0.04938806843644125,-1.2906790547978488,-0.016129835039651708,centrality_on_resilient_profiles,48.333333333333336,21.5,69.83333333333333,71.5,21.499999999999993
Trust_In_Mainstream_Journalism,Petition_Astroturf,60,-0.09042204386124464,-1.4043455236313989,-0.0610478025477994,centrality_on_resilient_profiles,36.43333333333333,20.033333333333335,56.46666666666667,55.0,20.03333333333334
Defense_Spending_Increase_Support,Personal_Safety_Fear_Appeal,60,-0.10241130692276258,-0.9775542364208576,-0.07340188276447224,centrality_on_resilient_profiles,17.95,10.866666666666667,28.816666666666666,29.5,10.866666666666667
Alliance_Commitment_Support,Headline_And_Lede_Misframing,60,-0.10835513513863164,-1.3148516031052786,-0.03448503075441145,centrality_on_resilient_profiles,18.483333333333334,10.766666666666667,29.25,27.0,10.766666666666666
Trust_In_Mainstream_Journalism,Multi_Turn_Counter_Argument_Adaptation,60,-0.12883006048381337,-3.4131315492659695,-0.041477272189154424,centrality_on_resilient_profiles,50.15,25.35,75.5,76.0,25.35
Defense_Spending_Increase_Support,Petition_Astroturf,60,-0.1354918670645968,-2.3757442744051858,-0.0756236750772108,centrality_on_resilient_profiles,36.86666666666667,20.883333333333333,57.75,56.0,20.883333333333333
Defense_Spending_Increase_Support,Headline_And_Lede_Misframing,60,-0.1466202605326668,-1.1551613076957103,-0.06733496579430787,centrality_on_resilient_profiles,19.166666666666668,12.116666666666667,31.283333333333335,31.0,12.116666666666667
Alliance_Commitment_Support,Personal_Safety_Fear_Appeal,60,-0.266702677342595,-2.8339869943663203,-0.18469136144138176,centrality_on_resilient_profiles,19.433333333333334,11.7,31.133333333333333,30.5,11.7
