position_id,incoming_peer_count,outgoing_receiver_count,incoming_exposure_weight,outgoing_visibility_weight,sender_receiver_asymmetry,incoming_top1_share,incoming_top5_share,incoming_hhi,incoming_effective_peer_count,incoming_peer_community_count,incoming_community_entropy,cross_community_incoming_share,peer_sender_reach_weighted_mean_pct,peer_bridge_weighted_mean,high_reach_peer_exposure_share,high_bridge_peer_exposure_share,h2_neighborhood_activation_readiness,community_id,weighted_in_degree,weighted_out_degree,eigenvector_centrality,approx_betweenness,local_clustering,bridge_score,weighted_in_degree_pct,weighted_out_degree_pct,approx_betweenness_pct,local_clustering_pct,bridge_score_pct,dominant_structural_role
9,30,13,10.47818279143896,5.270307621107677,-0.3306904366009728,0.0557122754894542,0.2473284010728261,0.03600628676893256,27.772927722800723,2,0.36376288428265324,0.06942198059853338,0.982646678232557,0.36576552777451443,1.0,0.16280751041737213,0.982646678232557,1,10.47818279143896,5.270307621107678,0.0053837186252108,0.0002162927888617,0.3198380566801619,0.1560713901979177,0.6767652952964753,0.8594836732288106,0.9233761640928917,0.8894848520570553,0.27784981728162206,broker_bridge
42836,28,5,3.5659165993821764,0.8710739826656334,-0.6073582007633627,0.07926079094830969,0.3122802462879747,0.04309005342189403,23.207211887370292,2,0.41348668859536897,0.08323792005598567,0.8997440635128584,0.28858522960267863,0.8039815962982507,0.10160976546109075,0.8997440635128584,1,3.5659165993821778,0.8710739826656336,0.0011822135701437,4.53896327926668e-05,0.2056451612903226,0.2540958585048624,0.26547212071201226,0.6114582105387245,0.6694565601791819,0.48644347518566544,0.44925144406459977,broker_bridge
92773,30,120,16.663269417210337,41.881323482240326,0.43074949907571425,0.04832652523893618,0.21936208591291587,0.03446314675838357,29.016502962160242,2,0.4246683539790289,0.086497135901056,0.9690802076515559,0.3777450211627615,0.8815115347610847,0.1598387172909766,0.9690802076515559,1,16.663269417210337,41.88132348224033,0.0096901499484176,0.0009042991726315,0.062767177562298,0.4185792224537092,0.873511729341035,0.9648709183072026,0.9785453259460096,0.11175291759990569,0.6841919132382411,broker_bridge
97374,3,1,0.1965374054740422,0.0655124684913474,-0.5,0.3333333333333333,1.0,0.3333333333333333,3.0,2,0.9182958340516042,0.3333333333333333,0.51738771660969,0.18935991350981324,0.0,0.0,0.19402039372863372,2,0.1965374054740423,0.0655124684913474,1.0072377981607242e-05,0.0001220026502003,0.0,0.375,0.05758575975480373,0.25167983024873275,0.8623128610161499,0.030001178828244726,0.6244253212306967,broker_bridge
122359,30,5,16.203198629889517,0.9992480695426038,-0.8838248899122484,0.051375059856476606,0.2340269906910704,0.03496280799992201,28.60182168440906,3,0.49261233506723945,0.17422193464677016,0.9641311782507271,0.3209593772929854,0.9196628163470053,0.09150525636086337,0.9641311782507271,1,16.20319862988952,0.999248069542604,0.0054027140047249,1.284407385075211e-05,0.2689393939393939,0.3064425100136247,0.8653778144524343,0.6377460803960863,0.3360839325710244,0.7506778262407168,0.5327124837911116,cluster_core
136471,30,38,12.184635130419384,16.74856115917741,0.1577401260157015,0.04950468714192459,0.22745361120699983,0.034796782721514194,28.738289053996905,4,0.35074196753029147,0.12021204656612011,0.95765204642279,0.30976923801636247,0.9024587040140799,0.09489497805561217,0.95765204642279,1,12.184635130419387,16.748561159177417,0.0065884669329474,0.0005079751736004,0.2280701754385964,0.255106634170831,0.751738771660969,0.93139219615702,0.9651066839561476,0.5881174112931746,0.4510196864316869,broker_bridge
136850,30,0,6.248258943845496,0.0,-1.0,0.07243152392419545,0.2659707365804166,0.03706869761961742,26.976939148538687,3,0.8841878745553119,0.44982360113085346,0.9281602282594659,0.3683832687621504,0.6456993623329033,0.22653765783785706,0.9281602282594659,0,6.2482589438454985,0.0,0.0029281996826599,1.7790746047815526e-05,0.1540229885057471,0.5835808502405129,0.42543911352116,0.11375692561593775,0.41765884710597667,0.2772014617470235,0.8983850053047271,peripheral_receiver
227856,30,6,22.639788854419646,0.8672685169032096,-0.926212072978456,0.041074678674306704,0.20159262106053188,0.03384420173656317,29.547158706351233,3,0.26163408752126627,0.06560674687310984,0.9548170990307795,0.30192544616217126,0.8333729105502548,0.09544452892534698,0.9548170990307795,1,22.63978885441965,0.8672685169032099,0.0091805085032706,1.0945180604595548e-05,0.2957983193277311,0.1438276588954721,0.9476600259342214,0.6103972651184723,0.29871507721325,0.8392667688317812,0.2545090180360721,exposed_receiver
277939,30,1,5.608762940740514,0.3982968971932166,-0.8673904013147902,0.07403196926957707,0.3081542862718091,0.04131994538844344,24.201387262232075,2,0.145089158683541,0.020652593941740485,0.9330348196718238,0.3351164606203697,0.8273483024937225,0.09542916199744142,0.9330348196718238,1,5.608762940740517,0.3982968971932166,0.0012524258915989,5.483604363222649e-06,0.2804597701149425,0.0404521286104362,0.3860662501473535,0.46646233643758106,0.1682187905222209,0.7933514086997524,0.08499351644465401,cluster_core
302117,30,27,29.961643974585165,14.593452006854921,-0.3449255720183395,0.033376005697425874,0.16688002848712938,0.033333776343935174,29.999601295757248,3,0.2642451041450127,0.0664159125740014,0.970598616830361,0.2572320727188636,0.9332479886051482,0.033376005697425874,0.970598616830361,1,29.961643974585165,14.593452006854925,0.0117505992441385,7.44794293139668e-05,0.2290196078431372,0.1319625224339375,0.9942237416008488,0.923729812566309,0.7820346575503949,0.5905929506070966,0.2339974065778616,visible_sender
