position_id,prompt_topk_out_reach_count,prompt_topk_out_reach_weight,two_hop_reach_count,combined_two_step_reach_count,cascade_reach_potential,prompt_topk_out_reach_pct,cascade_reach_pct,dominant_structural_role,community_id,weighted_out_degree,weighted_out_degree_pct,weighted_in_degree,bridge_score,bridge_score_pct,h2_neighborhood_activation_readiness,incoming_peer_community_count,incoming_effective_peer_count,cross_community_incoming_share,h3_central_susceptible_sender_readiness,h4_central_resilient_sender_dampening_capacity
9,4,2.0859115189771127,12,16,0.3215683966622018,0.8440999646351527,0.832252740775669,broker_bridge,1,5.270307621107678,0.8594836732288106,10.47818279143896,0.1560713901979177,0.27784981728162206,0.982646678232557,2,27.772927722800723,0.06942198059853338,0.5010950275843989,0.5010950275843989
42836,2,0.4380974718769709,0,2,0.12469198373696012,0.7396557821525404,0.6163503477543322,broker_bridge,1,0.8710739826656336,0.6114582105387245,3.5659165993821778,0.2540958585048624,0.44925144406459977,0.8997440635128584,2,23.207211887370292,0.08323792005598567,0.3599720551831056,0.3599720551831056
97374,1,0.0655124684913474,7,8,0.24938396747392025,0.6049157137805021,0.7658257691854297,broker_bridge,2,0.0655124684913474,0.25167983024873275,0.1965374054740423,0.375,0.6244253212306967,0.19402039372863372,2,3.0,0.3333333333333333,0.32519579019645994,0.32519579019645994
227856,1,0.0655124684913474,3,4,0.18267045442043695,0.6049157137805021,0.6911469998821171,exposed_receiver,1,0.8672685169032099,0.6103972651184723,22.63978885441965,0.1438276588954721,0.2545090180360721,0.9548170990307795,3,29.547158706351233,0.06560674687310984,0.3467425508878763,0.3467425508878763
302117,9,6.154602683640382,34,43,0.42950376320854805,0.911528940233408,0.8924908640811033,visible_sender,1,14.593452006854925,0.923729812566309,29.961643974585165,0.1319625224339375,0.2339974065778616,0.970598616830361,3,29.999601295757248,0.0664159125740014,0.5633816091576271,0.5633816091576271
164624,1,0.1567035560722973,1,2,0.12469198373696012,0.6049157137805021,0.6163503477543322,cross_community_connector,2,1.3789724905127645,0.6963338441589061,6.466351504670529,0.634499306405274,0.9523753389131203,0.826240696221588,4,26.98453458573031,0.5416808287531224,0.49030330591987326,0.49030330591987326
216762,0,0.0,0,0,0.0,0.25598255334197806,0.25598255334197806,peripheral_receiver,1,0.0,0.11375692561593775,3.632141889226072,0.6646158245823641,0.9757161381586703,0.9141776603165233,5,25.20706327619093,0.5830177876595415,0.2349581515973123,0.2349581515973123
92773,37,16.552831190705763,269,306,0.6499945554695286,0.9702345868207002,0.9698219969350466,broker_bridge,1,41.88132348224033,0.9648709183072026,16.663269417210337,0.4185792224537092,0.6841919132382411,0.9690802076515559,2,29.016502962160242,0.086497135901056,0.767040754016457,0.767040754016457
2208,1,0.0655124684913474,13,14,0.30736243815739706,0.6049157137805021,0.8202876340917128,exposed_receiver,1,0.4845354261004904,0.49864434751856657,19.74087021302372,0.2014092031292549,0.36072144288577157,0.9879924550139066,3,29.31070914062847,0.091554014498735,0.3849829073794813,0.3849829073794813
5286,0,0.0,0,0,0.0,0.25598255334197806,0.25598255334197806,peripheral_receiver,1,0.0,0.11375692561593775,2.072823165055212,0.5693382332874992,0.8821171755275257,0.9778953107884927,4,8.598259533796709,0.6151628337656411,0.21623835907108335,0.21623835907108335
