phase,expected_unit,completed,fallback_or_skipped,core_validity_check
01b profile-position assignment,unique profile,100,0,all profiles assigned to one empirical position
02b baseline network exposure,profile × opinion,700,1,same-opinion incoming empirical peers
04b post-attack network exposure,profile × opinion × attack,3500,0,same-condition incoming empirical peers
05 effect construction,scenario row,3500,0,"B, BN, P, PN and exposure covariates flattened"
