metric,n,mean,sd,min,p25,median,p75,max
BN canonical increment,700,-12.4,59.505149837159955,-362.0,-39.0,-18.0,27.0,234.0
BN canonical absolute increment,700,45.45142857142857,40.35827669709379,0.0,23.0,34.0,56.0,362.0
